ensembl_gene_id	external_gene_name	entrezgene_id	chromosome_name	start_position	end_position
ENSG00000215601	TSPY24P		chrY	8280198	8282209
ENSG00000215603	ZNF92P1Y		chrY	7853686	7854876
ENSG00000231436	RBMY3AP		chrY	9610571	9621276
ENSG00000225878	SERBP1P2		chrY	4801685	4802848
ENSG00000236435	TSPY12P		chrY	7687739	7689548
ENSG00000278478			chrY	10070131	10070409
ENSG00000258991	DUX4L19		chrY	11332329	11333595
ENSG00000237048	TTTY12	83867	chrY	7803996	7810683
ENSG00000147761	TTTY7B	100101120	chrY	9706824	9715262
ENSG00000224518			chrY	14941746	14942715
ENSG00000231988	OFD1P3Y		chrY	9030594	9039988
ENSG00000238073	RBMY2HP		chrY	7671743	7676024
ENSG00000275866			chrY	8517364	8517748
ENSG00000131538	TTTY6	84672	chrY	22439593	22441458
ENSG00000271595	ELOCP35		chrY	17464879	17465214
ENSG00000183704	SLC9B1P1		chrY	11340579	11385687
ENSG00000232927	USP12PY		chrY	3682805	3683868
ENSG00000239225	TTTY23	252955	chrY	9910798	9911962
ENSG00000277438	KDM5DP1		chrY	20570222	20570519
ENSG00000147753	TTTY7	246122	chrY	6449468	6457906
ENSG00000286217	LINC00279		chrY	8550518	8713825
ENSG00000259154	DUX4L17		chrY	11314921	11316187
ENSG00000169789	PRY	9081	chrY	22490397	22514637
ENSG00000231874	TSPY18P		chrY	9869664	9870781
ENSG00000273589			chrY	22646031	22646327
ENSG00000226061	PCMTD1P1		chrY	10173853	10174207
ENSG00000273863			chrY	7905536	7907303
ENSG00000228571	HSFY7P		chrY	22537047	22537849
ENSG00000271375			chrY	11473727	11474237
ENSG00000224634	ZNF736P6Y		chrY	8350931	8352143
ENSG00000285470	TUSC2P1		chrY	5887504	5888740
ENSG00000226092	RBMY2AP		chrY	21927521	21937150
ENSG00000212856	TTTY2B		chrY	6406244	6462091
ENSG00000228890	TTTY21	252953	chrY	9717653	9721296
ENSG00000234620	PUDPP1		chrY	15348662	15456074
ENSG00000236690			chrY	7690511	7692678
ENSG00000273693	CDRT15P10		chrY	11085476	11086061
ENSG00000114374	USP9Y	64595	chrY	12537650	12860839
ENSG00000114374	USP9Y	8287	chrY	12537650	12860839
ENSG00000169807	PRY2	442862	chrY	22071756	22096007
ENSG00000234110	TSPY25P		chrY	9624183	9626352
ENSG00000223422			chrY	7678899	7681028
ENSG00000231159	OFD1P8Y		chrY	21972313	22005349
ENSG00000225653	RNF19BPY		chrY	3777997	3779546
ENSG00000251618			chrY	21895394	21897559
ENSG00000229159	TSPY23P		chrY	22183850	22186021
ENSG00000228578	TUBB1P2		chrY	17516836	17519038
ENSG00000231411	DUX4L31		chrY	10171590	10172725
ENSG00000187657	TSPY13P		chrY	9905595	9908139
ENSG00000275280			chrY	7656968	7657352
ENSG00000270242	ACTR3BP1		chrY	11395699	11397076
ENSG00000236477	RPS24P1		chrY	12244752	12245457
ENSG00000129816	TTTY1B	100101116	chrY	6390431	6411564
