ensembl_gene_id	external_gene_name	entrezgene_id	chromosome_name	start_position	end_position
ENSMUSG00000100384	Gm28489	NA	chrY	31419544	31423014
ENSMUSG00000100216	Gm21867	NA	chrY	68409633	68410328
ENSMUSG00000099641	Gm29448	NA	chrY	68446562	68447176
ENSMUSG00000100271	Gm21127	108168549	chrY	68476137	68476829
ENSMUSG00000095634	Gm20816	100039810	chrY	68549224	68551559
ENSMUSG00000095634	Gm20816	100861743	chrY	68549224	68551559
ENSMUSG00000095634	Gm20816	100862360	chrY	68549224	68551559
ENSMUSG00000095634	Gm20816	108168596	chrY	68549224	68551559
ENSMUSG00000101393	Gm29447	NA	chrY	68678874	68682113
ENSMUSG00000100885	Gm29446	NA	chrY	68714125	68717466
ENSMUSG00000101120	Gm29452	NA	chrY	68718880	68719192
ENSMUSG00000101216	Gm29451	NA	chrY	68755564	68756259
ENSMUSG00000100032	Gm20817	NA	chrY	68817865	68843997
ENSMUSG00000101080	Gm28633	NA	chrY	68910098	68912594
ENSMUSG00000094444	Gm21562	NA	chrY	31691308	31691835
ENSMUSG00000100308	Gm29410	NA	chrY	68962559	68963252
ENSMUSG00000101423	Gm28298	NA	chrY	31732883	31735247
ENSMUSG00000095626	Gm21572	NA	chrY	31757555	31758082
ENSMUSG00000101761	Gm28297	NA	chrY	31795357	31797635
ENSMUSG00000099493	Gm21753	NA	chrY	32079749	32080444
ENSMUSG00000096777	Gm21723	NA	chrY	32115184	32115711
ENSMUSG00000102119	Gm28462	NA	chrY	69011221	69012780
ENSMUSG00000101147	Gm20818	108168663	chrY	69029093	69029785
ENSMUSG00000100739	Gm28296	NA	chrY	32136979	32139342
ENSMUSG00000095345	Gm21821	NA	chrY	32176464	32176992
ENSMUSG00000100709	Gm28295	NA	chrY	32199403	32201766
ENSMUSG00000101254	Gm20932	108168604	chrY	69637093	69637786
ENSMUSG00000100976	Gm29134	NA	chrY	69681445	69681929
ENSMUSG00000100489	Gm28303	NA	chrY	69747529	69748275
ENSMUSG00000101239	Gm28304	NA	chrY	69776073	69776384
ENSMUSG00000100971	Gm28824	NA	chrY	69777798	69781141
ENSMUSG00000100509	Gm21810	NA	chrY	33060550	33061245
ENSMUSG00000095553	Gm21916	NA	chrY	33096043	33096570
ENSMUSG00000101099	Gm29191	NA	chrY	33118945	33121306
ENSMUSG00000095049	Gm21756	NA	chrY	33200363	33226418
ENSMUSG00000101601	Gm28210	NA	chrY	33245210	33245656
ENSMUSG00000101516	Gm29074	NA	chrY	33277090	33280321
ENSMUSG00000101359	Gm28211	NA	chrY	33292586	33296052
ENSMUSG00000100790	Gm28518	NA	chrY	33338010	33341245
ENSMUSG00000101302	Gm28519	NA	chrY	33366948	33370180
ENSMUSG00000102125	Gm28520	NA	chrY	33401372	33404604
ENSMUSG00000094064	Gm21626	NA	chrY	33591015	33591542
ENSMUSG00000101421	Gm28433	NA	chrY	70569681	70569995
ENSMUSG00000099461	Gm28521	NA	chrY	33632972	33635336
ENSMUSG00000101706	Gm28431	NA	chrY	70571399	70574741
ENSMUSG00000096532	Gm21633	NA	chrY	33657681	33658208
ENSMUSG00000101627	Gm28432	NA	chrY	70606727	70609965
ENSMUSG00000101852	Gm20886	NA	chrY	70717406	70718098
ENSMUSG00000101681	Gm28522	NA	chrY	33695556	33697834
ENSMUSG00000099438	Gm21808	NA	chrY	70791975	70792670
ENSMUSG00000101870	Gm21745	NA	chrY	33983534	33984229
ENSMUSG00000101472	Gm28517	NA	chrY	34019043	34019570
ENSMUSG00000101407	Gm29532	NA	chrY	34041726	34044090
ENSMUSG00000099500	Gm29531	NA	chrY	34081254	34081781
ENSMUSG00000100097	Gm28464	NA	chrY	34104200	34106563
ENSMUSG00000099806	Gm28841	NA	chrY	70858526	70859220
ENSMUSG00000101474	Gm29656	NA	chrY	34141780	34142307
ENSMUSG00000099704	Gm28842	NA	chrY	70901967	70905206
ENSMUSG00000101383	Gm28843	NA	chrY	70970640	70995300
ENSMUSG00000099737	Gm29655	108168560	chrY	34164715	34167078
ENSMUSG00000099914	Gm28837	NA	chrY	71055755	71056450
ENSMUSG00000101417	Gm21647	NA	chrY	34240427	34271956
ENSMUSG00000101654	Gm29653	NA	chrY	34290974	34291420
ENSMUSG00000099369	Gm28838	NA	chrY	71092740	71093054
ENSMUSG00000101808	Gm29654	NA	chrY	34366261	34369610
ENSMUSG00000101893	Gm28839	NA	chrY	71094465	71097812
ENSMUSG00000099910	Gm29651	NA	chrY	34375474	34376170
ENSMUSG00000100442	Gm20866	108168528	chrY	71234579	71235274
ENSMUSG00000101518	Gm20868	NA	chrY	71309226	71309918
ENSMUSG00000099818	Gm29652	NA	chrY	34412574	34413188
ENSMUSG00000100500	Gm29080	NA	chrY	34424335	34425874
ENSMUSG00000100677	Gm21184	108168664	chrY	34442179	34442871
ENSMUSG00000100171	Gm21201	108168607	chrY	34517079	34517771
ENSMUSG00000101255	Gm21841	NA	chrY	71375583	71376278
ENSMUSG00000099463	Gm29081	NA	chrY	34625479	34628719
ENSMUSG00000100745	Gm29077	NA	chrY	34660686	34664033
ENSMUSG00000101341	Gm29076	NA	chrY	34669893	34670589
ENSMUSG00000100193	Gm29079	NA	chrY	34706715	34707329
ENSMUSG00000099651	Gm29078	NA	chrY	34718477	34720020
ENSMUSG00000101787	Gm20853	108168615	chrY	34736471	34737163
ENSMUSG00000101043	Gm29075	NA	chrY	34811137	34811832
ENSMUSG00000100535	Gm20870	73329	chrY	71703312	71729495
ENSMUSG00000099390	Gm29225	NA	chrY	34919203	34922440
ENSMUSG00000099738	Gm28483	NA	chrY	71791138	71791833
ENSMUSG00000100422	Gm29226	NA	chrY	34954443	34957786
ENSMUSG00000101988	Gm28484	NA	chrY	71828169	71828480
ENSMUSG00000100385	Gm29227	NA	chrY	34959198	34959512
ENSMUSG00000101336	Gm28480	NA	chrY	71975876	71976328
ENSMUSG00000101593	Gm20842	100040429	chrY	72050266	72050961
ENSMUSG00000099733	Gm21880	NA	chrY	72114660	72115355
ENSMUSG00000101626	Gm29386	NA	chrY	35146091	35149331
ENSMUSG00000101091	Gm29384	NA	chrY	35181234	35184581
ENSMUSG00000100229	Gm21896	NA	chrY	35190684	35191379
ENSMUSG00000101691	Gm29280	NA	chrY	35227068	35227682
ENSMUSG00000100540	Gm20799	NA	chrY	35256599	35257294
ENSMUSG00000100244	Gm29279	NA	chrY	35305688	35306383
ENSMUSG00000100694	Gm29182	NA	chrY	72283195	72286433
ENSMUSG00000099799	Gm28260	NA	chrY	35413791	35417030
ENSMUSG00000099999	Gm21795	NA	chrY	35458410	35459105
ENSMUSG00000101844	Gm20844	108168612	chrY	72393863	72394516
ENSMUSG00000101806	Gm28261	NA	chrY	35495302	35495916
ENSMUSG00000101632	Gm28264	NA	chrY	35507028	35508611
ENSMUSG00000099525	Gm21872	NA	chrY	35524827	35525504
ENSMUSG00000100749	Gm20798	108168649	chrY	35599518	35600213
ENSMUSG00000099963	Gm28463	NA	chrY	35717131	35720360
ENSMUSG00000101857	Gm21757	NA	chrY	72461052	72461747
ENSMUSG00000101836	Gm28968	NA	chrY	72646481	72647176
ENSMUSG00000102008	Gm28495	NA	chrY	72683478	72683792
ENSMUSG00000100869	Gm20846	108168580	chrY	72830907	72831599
ENSMUSG00000101277	Gm20847	108168624	chrY	72905796	72906473
ENSMUSG00000099371	Gm20848	108168623	chrY	72979301	72979978
ENSMUSG00000100359	Gm21766	NA	chrY	73045713	73046408
ENSMUSG00000099495	Gm20800	108168651	chrY	73250481	73251173
ENSMUSG00000101747	Gm21683	100862371	chrY	73325104	73325781
ENSMUSG00000100263	Gm28468	NA	chrY	36017393	36018007
ENSMUSG00000101575	Gm20898	100042013	chrY	36046936	36047628
ENSMUSG00000101715	Gm21855	NA	chrY	73394553	73395248
ENSMUSG00000100785	Gm29333	NA	chrY	36120848	36121543
ENSMUSG00000101425	Gm29255	NA	chrY	73436584	73439822
ENSMUSG00000100698	Gm20902	108168561	chrY	73546804	73547499
ENSMUSG00000099822	Gm28332	NA	chrY	36228508	36231745
ENSMUSG00000099547	Gm28678	NA	chrY	73618131	73618826
ENSMUSG00000101781	Gm28333	NA	chrY	36263746	36267089
